time	distance
1753	23.9368
1754	23.9677
1755	23.9121
1756	23.8792
1757	23.8988
1758	23.9347
1759	23.9201
1760	23.9789
1761	23.8942
1762	23.9094
1763	23.9066
1764	23.9187
1765	23.8794
1766	23.9369
1767	23.9136
1768	23.8824
1769	23.8635
1770	23.858
1771	23.8896
1772	23.9099
1773	23.895
1774	23.8641
1775	23.9015
1776	23.9046
1777	23.863
1778	23.8705
1779	23.8967
1780	23.9922
1781	23.968
1782	23.9207
1783	23.9931
1784	23.9583
1785	23.9964
1786	24.0239
1787	24.0763
1788	24.1093
1789	24.1394
1790	24.1464
1791	24.2046
1792	24.1178
1793	24.0979
1794	24.0854
1795	24.0716
1796	24.1183
1797	24.1835
1798	24.2102
1799	24.2179
1800	24.2964
1801	24.2531
1802	24.2309
1803	24.2383
1804	24.2486
1805	24.2306
1806	24.1947
1807	24.2272
1808	24.2427
1809	24.1461
1810	24.1455
1811	24.2203
1812	24.2893
1813	24.3374
1814	24.4059
1815	24.3196
1816	24.2776
1817	24.3184
1818	24.3139
1819	24.3429
1820	24.3647
1821	24.3508
1822	24.4132
1823	24.4038
1824	24.5302
1825	24.4962
1826	24.547
1827	24.5282
1828	24.4793
1829	24.4483
1830	24.4449
1831	24.3202
1832	24.2777
1833	24.2941
1834	24.2151
1835	24.2386
1836	24.2204
1837	24.2097
1838	24.2949
1839	24.316
1840	24.3611
1841	24.3469
1842	24.2914
1843	24.2994
1844	24.2375
1845	24.2465
1846	24.2181
1847	24.1709
1848	24.2054
1849	24.1903
1850	24.23
1851	24.1562
1852	24.1536
1853	24.2139
1854	24.2489
1855	24.2694
1856	24.2178
1857	24.2273
1858	24.2685
1859	24.2676
1860	24.3407
1861	24.3631
1862	24.3235
1863	24.315
1864	24.2465
1865	24.2137
1866	24.1828
1867	24.1957
1868	24.1053
1869	24.118
1870	24.124
1871	24.0827
1872	24.0942
1873	24.0969
1874	24.0308
1875	24.0669
1876	24.0393
1877	23.9583
1878	23.979
1879	23.9654
1880	23.9345
1881	23.9484
1882	23.9128
1883	23.9837
1884	24.0172
1885	24.018
1886	24.0025
1887	24.0781
1888	24.073
1889	24.0481
1890	24.1052
